title,paragraphs
Intro,"Analytics is something every business requires to stay competitive. The more information you can use to inform your actions, the better. Analytics and the techniques to properly use them support both strategic marketing decisions such as how much to spend or what a customer is worth, and more tactical campaign decisions, such as targeting the right customer with the right message at the right time. No matter what industry you're business is in, it's important to understand the information surrounding your market, your competition, and the journey your customers take. Marketing analytics benefits your entire organization and it's one of the most fundamental skills any marketer or business owner must hone. Now, I'm sure you're aware there's a lot of data available to us. So it's important that we really measure what matters. We have to go beyond getting those metrics, we must sort out how to take action with that data. We're going to spend a lot of time together talking about analytics, so let's talk about our goals for what we're studying. We want to learn how this data is collected and distributed. Knowing where data comes from and how it's combined will help you understand how that data can be leveraged. You'll need to know where to look for this data, and then you'll be more sensitive around the concerns of how data is collected. We also want to understand the questions that we're trying to answer. Every business is trying to get the right message to the right users at the right time. Your message and your timing and your users are well different than mine. So you'll have to be specific with the questions that you want to answer for your business goals. We also want to understand the available metrics and how they're measured. In each channel, paid earned, and owned, you'll have different metrics, and you need to know which are the most important. You also want to understand how they're used so that way, you can figure out how to combine them to get better insights. We also want to figure out how to watch out for data reporting pitfalls so we don't fall victim to common mistakes. Next, we need to figure out what metrics are important for your business goals. You have all of this data coming in, but what data is actually important and actionable for your business. You need to be able to understand what data you're going to use to get you from point a to point b. From here, we want to understand how to apply these metrics to your business. Everything that we do in marketing analytics is about being actionable. We want to understand the information and create reports that can be used to drive real decisions. It's also important that we have confidence in reporting so that we can take action on our analytics measurements and on the reporting we make. All kinds of decisions get made on this data and you're going to want the confidence that you've found the right information, use it in the right way, and made the right decisions. As you come to learn the foundations of marketing analytics, you'll be better equipped to gather, analyze, and report on the data you need to make better decisions."
Ecosystem,"When we look at the marketing ecosystem, today's marketer has access to a staggering amount of data, and the challenge is that you're expected to be able to capture, analyze, and report on all of this data, and it can be overwhelming. A common graphic that gets passed around in the industry is this landscape diagram from Chiefmartech.com. Updated in 2018, this super graphic displays over 6,800 different marketing technology solutions, every new platform, tool, and data vendor contributes to a digital ecosystem that is beyond mind-boggling. Now, when we think about marketing analytics, we often start with the tool that we're most familiar with, and then we look at the world of analytics through that lens. For many of us, that might be Google Analytics. It's arguably the most popular marketing analytics platform, but Google Analytics provides us one view. It's primarily looking at our website metrics. We're seeing things such as how much time people spend on our website, what pages they look at, and whether they buy or abandon our site. But Google Analytics can't answer every question, and as you saw, there's clearly enough data solutions out there to answer just about any question we may have. So when it comes to analytics, we have this giant ecosystem by which we can pull all of our insights out of, but we don't necessarily need all of these tools. In fact, we likely only need a fraction of them. You see this entire ecosystem gives us access to specific answers based on our needs. We can find the one tool that answers the question that we have. For example, we might use a tool to generate heat maps based on user behavior on our website, and then we'll capture data from that, or we might be running ads on a different platform such as AdWords, Twitter, or maybe Facebook, and there we can also capture data. We may also use a tool to evaluate call volumes at our call center or maybe a tool specific to measuring keyword ranking in our search results. Now, all of this data is native to that platform. So each platform is doing a very specific job and capturing a very specific set of data. Now, what we can do is we can go to each tool and look at that data and perhaps we can pull it down manually just like we would do in Google Analytics. We could load this data up into various spreadsheets and combine it, but the ecosystem also gives us access to software that automatically aggregates all of that data. So we can plug in data from each of these tools and use one platform to look at all of that data in combination. This can make our life easier. So we can use this software to combine our data with other people's data to get really rich insights on our metrics. Like we mentioned earlier, most of that data is only going to come from a handful of sources and these sources make up part of what we call our marketing technology stack or MarTech for short. Now, the technology that you're going to use will typically align to the various parts of the marketing funnel, and much about what we talked in analytics really refers back to this marketing funnel. If you remember, the marketing funnel goes Awareness, Interest, Desire, Action, and Advocacy. So some tools cover a lot of the funnel. Google Analytics is a great example. It can display data surrounding traffic arriving at the site, top of the funnel, then engaging on the site, and then converting on the site there at the bottom of that funnel. Now, some tools are specific to various areas of the funnel. With awareness, you might be capturing data out of platforms like AdWords, Facebook, or SEMRush. With an interest and desire, you might have data coming from WordPress, HubSpot, or Mailchimp. For action, well, you might be leveraging Salesforce, Optimizely, or Shopify, and then within advocacy, well, you might have your own data from your CRM. What you use is really going to depend on what your business goals are within each area of the funnel. So as you can see, we have all of these sources, and then we have all of these areas of the customer journey that we want to capture data for. So we're faced with two challenges. The first is, where should our data come from? The second is, how do I use that data? Well, there is no one size fits all approach. You don't really start by picking your data sources. You actually start by picking your strategy. So we can answer that first question of where the data comes from, by figuring out our objectives. What does our business do? What information helps us do it better? Really, we're trying to figure out what happens at each stage of our customer journey, and then we need to figure out how to measure that so that we can make more informed decisions. Now, when it comes time to apply the data, we have to think about the action that we want to take. You see, we collect and use data to inform decisions. So we really need to think about the question we're trying to answer or the decision we want to make, and then work from there. So as you can see, the way that you can use this ecosystem, can be figured out either top down or bottom up. Either start with your objective, and then pinpoint all the data that you'll collect across the funnel or start with the question you want to answer, and figure out what data you need to get that answer."
Data Collection,"Now, the ecosystem of data is no doubt impressive. So finding and using this information will become easier, if you understand how the data collection process works. Now, I'm sure it's no surprise to you that every action you take on the web is tracked one way or another. The pages you view, the files you download, and even your demographic and interest data, is all recorded. At the 2018, Consumer Electronics Show in Las Vegas. Intel projected that by 2020, we will be generating 1.5 gigabytes of data per day from our individual Internet activities. All of that tracking data we bought and sold by over 4,000 data brokers in the United States alone. Now, this data is collected as first, second, and third party data. First party data is what you collect, all the information that you immediately have access to, information coming from your website, your subscriptions, and your CRM. Now, second party data is essentially all of the first party data that is resold. So if you collected data on your customers and sold that to someone else, it would then become second party data. This could include things such as your website data, but it also goes as far as how people are using an application or even surveys that you run. Finally, third party data. These are all the aggregators. Third-party data vendors by from all sorts of sources and then they combine this data. Now, this data is coming from a myriad of places. First, we have the cookies that follow you around or pixels that fire when you make a transaction, and then we also have device fingerprinting, which is a really interesting method of combining information about you, such as your location, screen size, the hardware using, plugins you have, apps you have, software, and so on. Because it's easy to guess whether or not you're the same person between two sessions on a site, even if you leave your phone to your computer, because it's very unlikely that somebody else has that exact combination of items on their device. In fact, your very own Internet service provider could be selling data about who you are, where you've been, and so on. So what can we do with this knowledge? Well, we know that we can layer in all of these additional insights into this traditionally flat information. If you find a gap in your data and you want to fill it in to answer a question, you now understand that this information is out there and you can find it and fill that it take Google Analytics, for example. Let's say I measure one visit to my website. Now, that data point is interesting, but there is a breadth of information behind it. Google can tell me characteristics such as where that clip came from, how long that visit lasted, and the page that they were on. Now, that's all first party information, but dig deeper and you'll find that Google can bring me third party information, such as the visitor's interests, their market segment, even their age range and gender. That data combined helps paint a much better picture of what's going on on my website. It tells me more about the type of people that are being exposed to my content, and it can help me understand how to change my marketing behaviors. So as we layer that data together, we can answer more complex questions and segment in ways that provide us richer insight."
Layering in Data,"One of my first jobs out of high school was working for a grocery store. It was a really interesting job. I got to meet a lot of people, and I also got to observe all of the interesting ways that a grocery store works. Now, picture grocery store with me. You walk in, and the store is stocked, you'll have everything from vegetables, all the way to canned goods, and there are all of these different products. Followed behind that, you have people that come into the store, and every person is going to have different behaviors. Some are coming in for one specific item, others are coming in and they're browsing the store. Now, at the end of that browsing period, the customer is going to come check out, they're going to pay for whatever they've bought, and they're going to leave. Now, imagine trying to grow this grocery store without any data. We couldn't, we'd have no idea what to put on the shelf, or how much we can pay our employees, or whether we were making any money at all. So think about owning a grocery store. What data would we want to collect? Well, if we take a top-down approach, let's think about our objectives. Primarily, we need to sell groceries, and we need to be profitable. So if we need to be profitable, then we need to make sure that we're capturing data on sales, and we also need to have data on how much we're spending, and how much we're making money. If we need to sell groceries, then we need to keep track of what products we're moving. Now, from a bottom-up approach, we could ask this a different way. What if instead we wanted to answer the question, what are the most popular hours at my grocery store? Well, what data do you think we would need to answer this question? Well, I would need to measure how many people come to the store each hour. But here's the tricky part. How do we quantify what we mean by popular? Is the store popular because there are lots of people in it for that hour? Or is the store popular because we make the most money in that hour? Well, that's going to depend on your business objectives. If you opened up a brand new grocery store, you might be focusing on awareness, you simply want foot traffic. Therefore, you might want to measure how many people are coming through the store more than you care about whether you're making money yet. Now, a more mature grocery store might be concerned about making money during a certain period of time, and therefore, popularity would be a measurement of revenue during that timeframe. Now, the point of this thought experience is to get you to start thinking about all of the nuances in the marketing analytics process. We need to know what questions we want to answer, and then we need to know how we will qualify that that's the answer we want. From there, we can figure out the right data to combine. When it comes to answering questions, we're always combining data. Let's think about a few more questions we can ask in regards to our grocery store. Some will be easy to qualify. What isn't selling? So we can simply measure what products sold and which products didn't, there isn't a lot of data to combine there. What about how many repeat customers do we get? So that's a measurement of loyalty, although we're simply asking how many times a customer comes during a period of time. How about where is most of our profit coming from? Probably easy to qualify as well, maybe do we ever run out of stock, if so, on what or how much money would we lose on a particular day? But some questions are harder to qualify. Take this one. Are customers loyal? Well, what does loyalty mean? Is loyalty a measurement of how much money someone spends? Is loyalty a measurement of how many times they visit? Is loyalty a measure of how many times they visit in a period of time? Is it three times a week or three times a year? That's for you to decide. Another really tough question to qualify, is the store laid out in a good manner? Well, that's another tough one, because we have to combine all sorts of data. Is the store laid out in a good manner depends on our goals. Are we trying to sell a particular product? Perhaps we're pushing a new product, therefore we might decide that it needs to be on an end cap, and we decide that if it sells more than if it was in a row, then yes, the store was laid out better than if it was put somewhere else. There are all sorts of metrics that have to be layered into that. Ultimately, what we're trying to accomplish is becoming aware of how we have to frame our mindset. Every time we think of questions to answer, we must also be aware of how we're qualifying whether we've arrived at the right answer."
Analytics Process,"In the world of business and in marketing, we often talk a lot about processes. We do this because processes help us work efficiently and effectively. They're also a great foundation when you're starting out because it gives you something to work through. It helps you practice and repeat these behaviors that then allow you to understand why you're doing certain things. Whatever we're trying to do with our data, the process is always the same. Measure, analyze, and improve. The first step is to measure. Now, we know that we have all of this data to pick from. Now, it's actually relatively cheap and easy to simply collect all of the data you can. However, that can cause some problems. First of all, simply collecting all of the data you can could create a problem by which you're just chasing after all of these sources. Remember, you simply want to be using the tools that matter and then let those tools collect all the data that they can. When it comes time to use that data though, it's important to be selective. Otherwise, it'll be like drinking from a fire hose. When it comes to measure, we're going to focus on these objectives. Remember, we take our objectives. We look through that lens to determine what we're measuring. Now, once we've measured all of this data and we've collected these metrics, it's time to analyze it. So we take the data, we inspect it, and we start developing insights that allow us to take action. Analyzing data is similar to being a detective. Now, we're going to talk a lot about analyzing data later on and we'll really go into depth about how to think through your analysis. After we've done the analyzing, we improve. Everything that we do has to be actionable, you're going to hear me repeat this often. You need to figure out what you're really doing with this data. Simply collecting it and looking at it isn't good enough and then reporting on it still isn't good enough. You need to make sure that the information that you're sharing has action behind it. What is the goal of looking at this information? What decision are you going to make based off of it? From there, you simply repeat this process. Every time you take on a new initiative, whenever you start a new marketing campaign, think first about what needs to be measured, then analyze it, and then improve it. As we spend more time together digging into real-world scenarios, always pay attention to the steps we take. Regardless of the project, we're always going to measure, analyze, and improve"
Analyzing Metrics,"Let's talk about analyzing metrics. Earlier, we touched on one component of our analytics process and that was analyzing, but we've only scratched the surface. When it comes to analyzing data, it's actually a fairly deep concept and there's a true methodology by which we want to look at these insights. Now the skill of drawing information out of our datasets is often going to be the result of experience. As you spend more time with the data, you'll get more comfortable at finding connections between all of these different data points. But simply being curious, having an outside the box way of thinking, and figuring out how to see the bigger picture is a great place to start. Analyzing the marketing metrics tells us what is happening but only if we do our analysis properly. Now it's just as likely you'll do a bad analysis on good data as it is you'll do a fantastic analysis on bad or suspect data. It's actually rarely the case that the data itself is bad, but rather the way the data is interpreted. For example, it's easy to mix up a visit and a pageview. A visit is one person arriving whereas a pageview is something that happens every time a page loads. A visitor can have many pageviews. Think about a visitor to our grocery store. They come in and they could look at many products, but that one person has looked at many things. If we instead accidentally modeled our conversion rate on how many products were looked at versus how many people purchased, we'd have a really unrealistic view of what's happening. So the metrics that you use need to be accurate. You need to be using the right data and the right data points. Also, in our analysis process, all of these metrics must be compared. So we start with them being accurate, and then we think about how we compare them. Comparison is important because without it, the metrics will really provide no sense of direction. So in order to generate a comparison, we look at change and context over time. In other words, how does this metric change during a period of time and what is the context of that change? Is it normal or abnormal? So I want to give you an example. Let's say that we open up our store and there are no visitors. The first thing that we have to do is compare that. So if you look to yesterday, is zero less than yesterday or more than yesterday for that same window of time? If we opened up the story yesterday and we had three visitors and today we have zero, well, now we know that the change is we have three less visitors during this same time period. Now we have to ask is that normal or abnormal? To do that, we might have to zoom out. We might need to look at a trend over time. Do we typically have a lot of visitors in the morning? Is today different from other days? Perhaps today is a Saturday and most people aren't coming in this early on a Saturday. So we have to look at the context, we have to zoom out to really understand whether that change is normal or abnormal. Analyzing the data is an exercise that's oftentimes like being a detective. So remember, when you analyze your metrics, you always want to start with accurate metrics. From there, you need to compare them. You have to look at change and context."
